RowNumber,CreditScore,Geography_Spain,Geography_France,Geography_Germany,Gender_Male,Gender_Female,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Point Earned,Loyalty_Score,Complain_score
317,559,0,1,0,1,0,49,2,147069.78,1,1,0,120540.83,1,245,10.45,2.291560079332224
328,644,0,1,0,0,1,46,9,95441.27,1,1,0,108761.05,1,568,24.18,3.0803822986809166
333,663,0,0,1,1,0,44,2,117028.6,2,0,1,144680.18,4,919,30.19,2.6490926920579485e-05
355,613,0,1,0,0,1,45,1,187841.99,2,1,1,147224.27,1,482,15.32,1.5707890047623853e-05
357,850,1,0,0,0,1,57,8,126776.3,2,1,1,132298.49,3,244,29.44,-3.598500308450619e-05
363,648,0,1,0,0,1,50,9,102535.57,1,1,1,189543.19,5,332,35.82,-9.818931520368435e-06
365,640,0,1,0,1,0,68,9,0.0,2,1,1,199493.38,4,763,39.13,-0.00022162640963999293
372,640,0,0,1,0,1,75,1,106307.91,2,0,1,113428.77,2,703,20.53,-0.0001195398690644176
377,745,0,0,1,1,0,45,10,117231.63,3,1,1,122381.02,2,291,31.91,-0.4162080269457111
381,483,0,1,0,0,1,50,9,0.0,2,1,1,111020.24,5,706,41.56,4.5427453337488816e-05
388,730,1,0,0,1,0,62,2,0.0,2,1,1,186489.95,4,594,26.94,-0.0001607934796484694
389,709,1,0,0,0,1,45,2,0.0,2,0,1,162922.65,1,815,20.15,-1.1127960836978236e-05
400,616,0,1,0,0,1,66,1,135842.41,1,1,0,183840.51,2,302,12.52,-2.0603911412279756
401,605,0,1,0,1,0,52,1,63349.75,1,1,0,108887.44,2,437,13.87,0.00011519134972957077
403,751,1,0,0,1,0,52,8,0.0,2,0,1,179291.85,5,629,39.29,-8.414856193472605e-05
407,538,1,0,0,0,1,49,9,141434.04,1,0,0,173779.25,5,797,38.47,0.47128341974462323
419,643,0,1,0,0,1,46,6,0.0,2,0,0,106781.59,4,597,30.97,7.840928594611892e-05
444,745,0,1,0,1,0,46,2,122220.19,1,1,1,118024.1,3,781,23.81,0.00013817654296025212
445,553,1,0,0,1,0,47,3,116528.15,1,0,0,145704.19,2,918,21.68,1.6885716698682898
450,778,1,0,0,0,1,47,6,127299.34,2,1,0,124694.99,2,859,27.59,4.135293224943855e-05
485,615,1,0,0,1,0,61,9,0.0,2,1,0,150227.85,4,683,36.33,-1.8475052198316724
490,714,0,0,1,0,1,55,9,180075.22,1,1,1,100127.71,1,652,27.02,0.00011086380997982522
494,531,0,1,0,0,1,47,6,0.0,1,0,0,194998.34,2,510,22.1,0.0031536822719238533
500,570,0,1,0,0,1,58,8,0.0,1,0,1,116503.92,2,257,24.57,1.271408146950172
504,638,1,0,0,1,0,44,9,77637.35,2,1,1,111346.22,4,343,34.93,8.347420672099775e-05
519,698,0,1,0,1,0,48,4,101238.24,2,0,1,177815.87,1,342,18.42,-1.1178442987742505
520,707,0,1,0,1,0,58,6,89685.92,1,0,1,126471.13,2,230,21.3,4.6528619824125706e-05
522,850,0,1,0,1,0,56,7,131317.48,1,1,1,119175.45,3,657,30.07,7.186834033026059e-05
544,721,1,0,0,1,0,51,0,169312.13,1,1,0,109078.35,2,405,12.05,2.426101226841153
546,842,1,0,0,0,1,44,2,112652.08,2,1,0,126644.98,5,939,31.39,5.732149274163716e-05
556,590,1,0,0,0,1,51,3,154962.99,3,0,1,191932.27,1,759,23.09,-3.566355929156636
567,438,1,0,0,0,1,54,2,0.0,1,0,0,191763.07,3,281,16.81,-0.7870342484505086
574,648,1,0,0,0,1,49,10,0.0,2,1,1,159835.78,2,314,30.14,-0.6317728710164257
586,760,0,1,0,0,1,51,2,100946.71,1,0,0,179614.8,4,550,22.5,0.014387025233220567
588,725,0,1,0,1,0,44,5,0.0,1,1,1,117356.14,4,865,32.15,0.0001521863997718596
590,519,1,0,0,0,1,47,6,157296.02,2,0,0,147278.43,1,934,25.34,0.05494881978318328
607,699,0,1,0,1,0,53,4,0.0,2,0,1,111307.98,1,513,20.13,2.56335689201463e-05
618,612,0,0,1,0,1,62,8,140745.33,1,1,0,193437.89,5,455,33.55,-1.8737896875022293
629,649,0,1,0,1,0,47,1,0.0,2,1,1,145593.85,4,908,28.58,5.627036289589494e-06
638,682,0,1,0,1,0,48,1,138778.15,1,0,1,168840.23,5,229,22.79,3.8440081731139385e-05
641,752,1,0,0,1,0,48,5,116060.08,1,1,0,156618.38,5,265,27.15,1.1867177707740253
651,629,0,1,0,0,1,49,4,0.0,2,1,1,196335.48,5,921,36.21,-9.398206970344773e-05
658,601,0,0,1,0,1,54,1,131039.97,2,1,1,199661.5,1,929,19.79,-0.00013183779298843088
659,544,0,1,0,1,0,64,9,113829.45,1,1,1,124341.49,3,562,32.12,1.1565162347998375e-05
662,694,1,0,0,1,0,57,8,116326.07,1,1,1,117704.65,2,988,31.880000000000003,6.794862243404524e-05
664,695,0,1,0,1,0,46,4,0.0,2,1,1,137537.22,2,499,22.99,2.5833574277654105e-05
678,739,0,0,1,1,0,45,7,102703.62,1,0,1,147802.94,3,827,31.77,1.8741861386545133
682,591,1,0,0,1,0,58,5,128468.69,1,0,1,137254.55,2,515,22.65,2.8094727209344096e-05
688,769,0,0,1,0,1,45,5,126674.81,1,1,0,124118.71,5,592,30.42,2.683974465755589
695,796,0,1,0,0,1,45,2,109730.22,1,1,1,123882.73,2,267,15.67,0.00013459541353419703
698,543,0,0,1,0,1,57,1,106138.33,2,1,1,120657.32,5,677,29.27,-0.32171240058779493
703,594,1,0,0,0,1,49,2,126615.94,2,0,1,123214.74,3,650,24.5,3.101536794373363e-05
711,540,0,1,0,1,0,48,0,148116.48,1,0,0,116973.48,3,274,13.74,0.00012710454066696178
719,474,0,1,0,1,0,45,10,0.0,2,0,0,172175.9,4,792,38.92,-2.694607947074454e-05
721,672,1,0,0,0,1,56,2,209767.31,2,1,1,150694.42,5,742,31.42,-1.2200254742737733
730,499,0,1,0,0,1,57,1,0.0,1,0,0,131372.38,3,251,15.01,0.8917265681448994
735,545,0,0,1,0,1,60,7,128981.07,1,0,1,176924.21,5,907,38.57,-1.0517969808342635
739,725,0,1,0,1,0,46,6,0.0,2,1,0,161767.38,2,393,22.93,-1.55870666209641e-05
744,611,0,1,0,0,1,49,2,88915.37,3,0,0,161435.02,1,561,17.61,-2.266250496966212
745,650,0,1,0,1,0,60,8,0.0,2,1,1,102925.76,3,256,29.56,-5.0753148983562646e-06
750,460,0,0,1,1,0,46,4,127559.97,2,1,1,126952.5,5,287,29.87,4.392779594735923e-05
767,700,0,1,0,0,1,82,2,0.0,2,0,1,182055.36,2,603,21.03,-0.00028189271499624993
768,720,0,0,1,1,0,60,9,115920.62,2,0,0,157552.08,1,274,23.24,-1.9692417697731917
775,636,0,0,1,1,0,49,6,113599.74,2,1,0,158887.09,2,752,26.52,-0.5993361784138997
777,622,0,0,1,0,1,58,7,116922.25,1,1,0,120415.61,2,475,23.25,1.137663418865788
785,747,0,0,1,1,0,58,7,116313.57,1,1,1,190696.35,3,844,31.94,-1.2653077932878536
790,704,1,0,0,1,0,48,8,167997.6,1,1,1,173498.45,2,970,31.7,3.047701182789643e-05
792,611,0,1,0,1,0,49,3,0.0,2,1,1,142917.54,4,437,26.87,-2.665903805907921e-06
793,850,0,0,1,0,1,48,6,111962.99,1,1,0,111755.8,5,446,30.46,0.00013602398856181274
797,702,0,1,0,0,1,46,9,98444.19,1,0,1,109563.28,1,511,25.61,0.00015264002924873915
801,605,0,1,0,1,0,52,7,0.0,2,1,1,173952.5,3,435,29.85,-7.502112328050185e-05
808,628,0,1,0,1,0,69,5,0.0,2,1,1,181964.6,3,348,25.98,-0.00019809555258593168
809,598,0,0,1,1,0,53,10,167772.96,1,1,1,136886.86,5,686,40.86,6.0893285185075934e-05
812,681,1,0,0,1,0,65,7,134714.7,2,0,1,190419.81,3,854,34.04,-0.00018681344530628555
824,732,1,0,0,0,1,69,9,137453.43,1,0,1,110932.24,5,719,39.69,0.046358686095409926
827,680,0,1,0,0,1,47,5,0.0,2,1,1,179843.33,1,735,23.85,-5.2921294057564855e-05
846,505,0,1,0,1,0,49,7,80001.23,1,0,0,135180.11,5,726,34.76,8.95469201800208e-05
849,611,1,0,0,1,0,51,1,122874.74,1,1,1,149648.45,1,247,10.97,5.194577943778827e-05
852,667,0,0,1,0,1,48,1,97133.92,2,0,0,113316.77,5,736,27.86,1.087446660168682
860,598,0,1,0,1,0,64,1,0.0,2,1,0,195635.3,1,839,16.89,-3.7860922672371364
868,636,0,1,0,0,1,48,1,170833.46,1,1,0,110510.28,1,654,13.04,2.7632014126238595
869,603,0,0,1,1,0,44,6,108122.39,2,1,0,108488.33,3,652,28.52,1.7672818244630746
885,515,0,1,0,1,0,65,7,92113.61,1,1,1,142548.33,5,802,37.52,-2.5992817126856373e-05
889,733,0,0,1,1,0,74,3,106545.53,1,1,1,134589.58,1,978,21.28,-7.029361035202551e-05
903,645,0,1,0,0,1,48,7,90612.34,1,1,1,149139.13,3,803,31.53,7.211844738814566e-05
905,599,0,1,0,1,0,58,4,0.0,1,0,0,176407.15,2,818,22.18,-0.7767452618645101
908,516,0,1,0,0,1,46,1,104947.72,1,1,0,115789.25,5,665,25.15,2.840080869395195
912,648,1,0,0,0,1,53,6,111201.41,1,1,1,121542.29,4,715,32.15,8.712430981362604e-05
923,555,0,1,0,1,0,51,5,0.0,3,1,0,189122.89,1,406,20.56,-3.470300320408063
938,850,0,0,1,0,1,44,5,128605.32,1,0,1,171096.2,2,952,27.02,6.031958060392193e-05
943,376,0,1,0,0,1,46,6,0.0,1,1,0,157333.69,2,979,26.79,1.4196334844495577
949,659,0,1,0,1,0,67,4,145981.87,1,1,1,131043.2,1,513,18.13,-1.9193187351641485e-05
953,571,0,0,1,0,1,66,9,111577.01,1,0,1,189271.9,1,445,24.95,-0.00011229918426951245
964,529,1,0,0,1,0,63,4,96134.11,3,1,0,108732.96,3,693,27.93,-2.2659228590724907
970,649,0,0,1,1,0,70,9,116854.71,2,0,1,107125.79,3,989,38.39,-7.659513311383295e-05
980,550,0,1,0,0,1,46,7,0.0,2,1,0,130590.35,5,473,34.230000000000004,3.770901412779887e-05
982,749,0,0,1,0,1,44,0,71497.79,2,0,0,151083.8,1,378,10.78,1.5544154614032215e-05
990,722,0,1,0,0,1,49,3,168197.66,1,1,0,140765.57,1,383,13.33,1.6000552944752024
1009,444,0,1,0,1,0,45,6,0.0,1,1,0,130009.85,4,669,29.69,2.482550294257582
1010,650,1,0,0,1,0,71,0,0.0,1,1,1,175380.77,5,928,28.28,-0.00012072277060419713
1021,625,0,1,0,1,0,49,6,173434.9,1,1,0,165580.93,3,835,28.35,0.7515924624215139
1030,609,1,0,0,1,0,53,10,0.0,1,1,1,154642.91,3,498,32.980000000000004,3.053991686939373e-05
1035,663,0,1,0,1,0,46,3,0.0,2,0,1,176276.1,1,275,16.25,-4.0389233879397385e-05
1048,726,0,1,0,0,1,48,4,0.0,1,1,0,114020.06,2,283,16.83,2.643198403250415
1056,545,1,0,0,0,1,74,3,0.0,2,1,1,161326.73,2,423,20.73,-0.0001949858145522943
1058,581,0,1,0,0,1,47,1,122949.14,1,0,0,180251.68,2,983,19.33,0.5073572443775253
1061,490,1,0,0,0,1,48,8,155413.06,1,1,0,187921.3,3,319,26.19,5.8216364368699375e-06
1071,686,0,0,1,0,1,47,5,170935.94,1,1,0,173179.79,5,983,34.33,0.7491524799643614
1115,608,0,1,0,0,1,62,8,144976.5,1,0,0,175836.03,1,836,25.36,-1.2719638834432687
1118,731,0,1,0,0,1,47,1,115414.19,3,0,0,191734.67,3,611,22.61,-3.0448539754700095
1119,617,1,0,0,1,0,61,7,91070.43,1,1,1,101839.77,2,647,26.97,6.933309598784238e-05
1126,612,0,0,1,0,1,58,1,149641.53,1,1,1,115161.28,5,405,24.55,6.586242676007815e-05
1153,652,0,0,1,1,0,45,2,151421.44,1,0,1,115333.43,2,388,16.88,0.00014921015339701912
1154,755,0,0,1,0,1,45,7,135643.0,1,0,0,143619.52,3,265,24.15,2.017221596567276
1158,700,1,0,0,1,0,54,1,79415.67,1,0,1,139735.54,5,546,25.96,4.958956198519093e-05
1166,712,0,0,1,0,1,49,5,154776.42,2,0,0,196257.68,3,822,28.72,-9.384907322872724e-05
1179,552,0,1,0,1,0,49,4,0.0,1,1,1,190296.76,1,759,20.59,-0.09346733595971224
1193,785,1,0,0,0,1,61,4,129855.72,2,1,0,170214.82,4,766,29.66,-2.5308804023948963
1202,399,0,0,1,1,0,46,2,127655.22,1,1,0,139994.68,5,475,24.75,2.012472175067274
1209,697,0,1,0,0,1,47,6,128252.66,1,1,1,168053.4,1,281,18.81,4.621914193099401e-05
1216,745,1,0,0,0,1,54,8,0.0,1,1,0,173912.29,1,447,21.47,-0.17669761206210427
1225,500,1,0,0,0,1,47,8,128486.11,1,1,0,179227.12,4,641,32.41,2.7118044636477254e-05
1233,587,0,0,1,1,0,46,9,107850.82,1,1,0,139431.0,3,744,31.94,2.0317449774433833
1235,771,0,1,0,0,1,66,7,143773.07,1,1,1,130827.88,2,625,26.75,-1.2391104211780292e-05
1236,523,0,0,1,1,0,63,6,116227.27,1,1,1,119404.63,5,738,35.38,2.643855879443543e-05
1254,499,0,0,1,0,1,55,4,126817.65,2,1,0,123269.71,5,390,28.9,-7.682606610016396e-06
1266,534,0,1,0,0,1,55,8,116973.26,3,1,0,122066.5,1,840,29.4,-1.6923187758778404
1269,658,0,1,0,0,1,44,6,148481.09,1,1,0,130529.13,4,940,32.4,0.00012966761787561588
1279,681,1,0,0,1,0,67,7,0.0,2,0,1,163714.92,1,444,23.94,-0.00015403033871105873
1282,790,1,0,0,1,0,46,8,182364.53,1,0,0,139266.48,2,661,26.61,2.0373700864536683
1284,669,0,1,0,1,0,45,7,149364.58,1,0,1,173454.07,5,263,32.13,4.985488053716737e-05
1306,811,0,0,1,1,0,52,10,76915.4,1,0,0,146359.81,2,488,27.88,1.0227230872069863
1315,675,0,1,0,1,0,54,2,0.0,1,1,0,149583.67,5,752,27.52,0.6551230758166134
1321,687,0,1,0,0,1,47,7,0.0,2,1,1,177624.01,1,517,24.67,-4.912744140619481e-05
1343,652,1,0,0,1,0,71,4,0.0,1,1,1,120107.1,3,305,22.05,-2.623429689132336e-05
1374,528,0,0,1,0,1,46,9,135555.66,1,1,0,133146.03,4,764,35.14,2.246634604092865
1375,632,0,1,0,1,0,44,3,107764.75,1,1,0,185667.72,4,582,24.32,3.541005886460892e-05
1378,768,1,0,0,0,1,44,6,60603.4,1,1,1,178045.97,4,570,30.7,4.843918330163464e-05
1388,725,0,1,0,1,0,66,4,86459.8,1,1,1,141476.56,5,279,27.79,-3.0594663343222154e-05
1390,627,0,1,0,0,1,55,2,159441.27,1,1,0,100686.11,3,485,18.85,2.198294789692995
1393,794,1,0,0,1,0,45,8,88656.37,2,1,0,116547.31,4,618,34.18,6.81491180057254e-05
1396,705,1,0,0,1,0,46,7,0.0,2,1,0,117273.35,2,946,29.96,6.0473976259575895e-05
1406,359,0,1,0,0,1,44,6,128747.69,1,1,0,146955.71,1,981,23.81,2.0318402602008723
1408,721,0,1,0,1,0,69,2,108424.19,1,1,1,178418.35,1,260,12.6,-0.0001130474093830218
1411,523,0,1,0,0,1,73,7,0.0,2,0,0,130883.9,5,566,35.16,-2.730352972085299
1420,535,0,1,0,0,1,44,2,114427.86,1,1,1,136330.26,1,948,19.48,0.00011975078189367433
1428,792,0,0,1,0,1,59,9,101609.77,1,0,0,161479.19,5,779,38.29,-0.3950293165013001
1429,550,0,1,0,1,0,57,5,0.0,1,1,1,133501.94,5,484,31.34,4.094368824205754e-05
1434,755,0,1,0,1,0,62,1,127706.33,2,0,1,142377.69,2,673,20.23,-8.538505970050041e-05
1436,598,1,0,0,1,0,44,8,0.0,2,1,0,148487.9,4,909,37.09,1.998175806810445e-05
1442,627,1,0,0,1,0,44,6,0.0,1,1,1,114469.55,5,258,30.58,0.00015712092797190213
1449,555,0,0,1,0,1,46,4,120392.99,1,1,0,177719.88,5,594,28.94,0.7226085570584341
1454,672,0,1,0,0,1,53,7,0.0,1,1,1,136910.18,3,311,26.61,6.085342043198491e-05
1469,691,0,1,0,1,0,52,3,0.0,1,1,0,175843.68,3,660,22.1,0.014639068272632921
1470,819,0,0,1,0,1,49,1,120656.86,4,0,0,166164.3,3,991,28.41,-4.007747428815302
1479,649,0,1,0,0,1,45,5,92786.66,1,1,0,173365.9,1,919,21.69,1.000162089143438
1486,475,0,1,0,0,1,46,10,0.0,2,0,0,122953.0,3,800,36.0,1.0153468895746172
1488,710,1,0,0,0,1,51,4,93656.95,1,0,1,141400.51,5,933,34.33,1.3209731363483104
1493,735,1,0,0,1,0,50,9,0.0,1,0,0,166677.35,2,886,30.36,0.5854182769663722
1495,449,0,1,0,1,0,52,6,0.0,2,0,1,123622.0,3,995,33.95,1.1017168119468413e-05
1496,685,0,0,1,1,0,57,7,101868.51,1,0,1,113483.96,4,911,35.61,7.516374956627996e-05
1518,744,0,1,0,1,0,54,6,93806.31,2,0,1,140068.77,2,306,24.06,-2.9966031947715002e-05
1520,544,0,1,0,0,1,64,3,124043.8,1,1,1,111402.97,1,642,17.92,0.6736961969494266
1525,796,0,1,0,1,0,51,6,0.0,2,0,1,194733.28,1,804,26.04,-0.0001041111645992277
1535,573,0,0,1,0,1,47,4,152522.47,1,0,1,164038.07,4,273,24.73,1.0617173446708115
1547,701,0,0,1,0,1,48,1,92072.68,1,1,1,133992.36,3,340,17.9,9.801133959124973e-05
1550,652,0,1,0,1,0,48,4,59486.31,1,1,0,163944.18,5,751,30.51,0.9362410895951544
1552,730,1,0,0,0,1,52,7,0.0,2,0,1,122398.84,5,800,39.5,1.310811886521478e-05
1568,713,0,1,0,1,0,53,6,115029.4,1,0,0,191521.32,2,338,20.38,-0.6500821145260051
1571,717,1,0,0,0,1,49,1,110864.38,2,1,1,124532.9,1,845,18.95,0.5752691200911603
1589,747,0,1,0,1,0,61,7,155973.13,1,0,1,147554.26,5,527,34.77,-8.814282079552683e-06
1602,834,0,1,0,0,1,49,8,160602.25,2,1,0,129273.94,2,771,29.71,2.0657370005094057e-05
1612,760,0,0,1,0,1,49,9,91502.99,1,1,0,117232.9,5,511,35.61,2.404661628374243
1613,665,0,1,0,1,0,52,3,0.0,1,1,0,116137.01,1,307,12.57,2.056071887328856
1631,657,0,0,1,1,0,57,8,107174.58,1,1,1,126369.55,2,288,24.88,1.0627785017087548
1632,350,1,0,0,1,0,54,1,152677.48,1,1,1,191973.49,3,643,20.93,-0.7942287259483457
1647,570,0,0,1,0,1,50,5,129293.74,1,1,0,177805.44,4,988,31.380000000000003,0.2049373668869562
1654,500,0,1,0,1,0,56,1,100374.58,1,1,0,118490.8,4,950,25.0,1.4608475667756649
1658,704,0,0,1,0,1,54,6,133656.91,3,1,0,145071.33,1,329,21.29,-2.3501912627673263
1665,773,0,1,0,1,0,52,4,0.0,1,0,1,144113.42,4,748,29.48,5.4973725583386536e-05
1668,606,1,0,0,0,1,46,8,0.0,2,1,1,183717.94,2,939,33.39,-5.3110808242297706e-05
1684,711,0,1,0,1,0,52,5,0.0,1,1,1,159808.95,2,258,20.08,2.8142746677614194e-05
1697,814,0,0,1,1,0,44,8,95488.82,2,0,0,107013.59,4,474,32.74,9.088069150593439e-05
1702,792,0,1,0,1,0,50,9,0.0,4,1,1,194700.81,4,369,39.19,-5.11212668053618
1709,699,0,1,0,0,1,49,2,0.0,1,0,0,105760.01,4,370,20.7,0.0001398395883795472
1715,730,0,0,1,1,0,45,6,152880.97,1,0,0,162478.11,4,856,31.56,6.861791378488832e-05
1733,735,0,1,0,1,0,49,5,121973.28,1,1,0,148804.36,1,916,21.66,6.625672454107335e-05
1743,584,0,0,1,0,1,54,1,77354.37,1,0,0,138192.98,5,668,25.18,1.044582551578627
1747,584,1,0,0,0,1,59,1,0.0,1,0,1,130260.11,1,462,13.12,0.6723833275590999
1756,533,1,0,0,0,1,52,7,0.0,1,0,1,194113.99,5,590,35.4,-0.6100417328561372
1768,814,0,1,0,0,1,48,7,0.0,2,1,1,132870.15,1,260,22.1,2.0943771226044716e-05
1808,818,0,1,0,0,1,49,2,0.0,1,0,1,192298.84,4,544,24.44,-0.16192052248604244
1811,651,0,1,0,0,1,65,0,0.0,2,1,1,190454.04,4,700,25.0,-0.00018687196033623007
1820,714,1,0,0,1,0,45,8,150900.29,2,0,1,139889.15,5,734,40.34,2.8247030171678834e-05
1824,788,0,0,1,0,1,57,8,93716.72,1,1,1,180150.49,1,696,25.96,-0.7760474779630899
1830,725,0,0,1,1,0,45,8,116917.07,1,0,0,173464.43,5,489,33.89,0.9967932465055618
1838,561,0,1,0,1,0,56,7,152759.0,2,1,0,133167.11,2,377,24.27,-0.6207486118432878
1840,706,0,1,0,1,0,54,9,117444.51,1,1,1,186238.85,2,344,26.94,-2.9906277254299063e-05
1845,667,0,1,0,0,1,48,2,0.0,2,1,1,148608.39,1,797,19.97,-5.960218983523436e-06
1859,705,0,1,0,1,0,61,4,0.0,2,1,1,191313.7,2,606,24.06,-0.0001626055166354666
1865,607,0,1,0,1,0,45,7,123859.6,1,0,1,113051.57,1,859,26.09,0.00015311091606804236
1867,559,0,1,0,0,1,70,9,0.0,1,1,1,122996.76,4,765,37.15,-2.474007228716274e-05
1878,770,1,0,0,1,0,55,9,63127.41,2,1,0,185211.28,4,968,39.18,-2.2715061770620824
1889,429,0,1,0,1,0,60,7,0.0,2,1,1,163691.48,5,778,39.28,-0.00010895226276275266
1895,535,1,0,0,0,1,49,7,115309.75,1,1,0,111421.77,5,885,36.35,0.00013016100070971088
1899,850,0,0,1,0,1,45,5,127258.79,1,1,1,192744.23,3,380,24.3,0.3375969378713638
1905,625,1,0,0,0,1,69,1,107569.96,1,1,1,182336.45,1,850,17.0,-0.00011974526912083931
1920,618,0,1,0,1,0,56,7,0.0,1,1,1,142400.27,5,444,33.94,0.6433580510441702
1943,684,0,1,0,1,0,45,6,148071.39,1,1,0,183575.01,3,895,28.95,3.25534751276917e-05
1948,688,0,1,0,1,0,52,1,0.0,2,1,1,172033.57,1,635,16.85,-7.174077719778572e-05
1952,604,0,1,0,1,0,53,8,144453.75,1,1,0,190998.96,3,985,32.85,-0.6322220856990375
1955,624,1,0,0,1,0,51,5,174397.21,2,1,1,172372.63,2,955,29.05,-6.58863879609518e-05
1956,565,0,0,1,0,1,58,3,108888.24,3,0,1,135875.51,3,936,30.86,-2.550522468341907
1957,565,0,1,0,1,0,55,4,118803.35,2,1,1,128124.7,2,535,23.35,-0.31965694581742227
1958,710,0,1,0,1,0,54,6,171137.62,1,1,1,167023.95,4,451,29.51,0.05882185912625271
1963,358,1,0,0,0,1,52,8,143542.36,3,1,0,141959.11,4,976,39.76,-1.9864083384782678
1967,681,0,0,1,0,1,48,8,139480.18,1,1,1,163581.67,1,420,23.2,4.7429412606537556e-05
1982,476,1,0,0,0,1,69,1,105303.73,1,0,1,134260.34,5,563,26.13,-3.756078135383869e-05
1985,531,1,0,0,0,1,45,1,126495.57,2,1,1,164741.5,2,242,15.92,-1.4237223536789218e-05
1989,563,1,0,0,0,1,46,8,106171.68,1,1,0,163145.5,3,672,29.72,1.2209216877253535
1994,824,0,0,1,1,0,60,8,134250.17,3,0,0,153046.16,4,244,32.44,-3.3949776590026213
1996,584,0,1,0,0,1,44,5,95671.75,2,1,1,106564.88,2,662,26.12,9.164774610968521e-05
2010,729,0,0,1,1,0,46,5,117837.43,1,1,0,104016.61,5,924,33.74,3.2425996108177872
2011,556,1,0,0,0,1,48,8,168522.37,1,1,1,151310.16,2,393,25.93,6.840714486228009e-05
2032,765,0,1,0,1,0,51,3,123372.3,1,1,1,115429.32,4,259,23.09,0.00011044222748407164
2039,621,0,1,0,1,0,47,0,0.0,1,1,1,133831.37,2,704,17.04,2.0945156691358275
2040,579,0,0,1,0,1,64,6,145215.43,1,1,1,164083.72,5,792,35.92,-5.63728387770578e-05
